cust_id,Customer Name,Signup_Dt,City,Loyalty Tier,Age Group,Preferred Device,Gender,Acquisition_Channel,Preferred_Trip_Type
CUST00043,Aditya Bhat,2025/12/17,Bengaluru,none,,,M,Paid Ads,Business
CUST00044,Pankaj Menon,2026/02/04,Jaipur,silver,18-24,,M,Email Campaign,
CUST00045,Priya Patel,2024/08/18,Shimla,silver,45-54,,F,Email Campaign,Family
CUST00046,Gaurav Agarwal,2026/08/10,Varanasi,Gold,55+,iOS,M,App Install,Honeymoon
CUST00047,Isha Mehta,2026/01/26,Manali,Platinum,25-34,,F,Referral,Honeymoon
CUST00048,Rajesh Bhat,09-03-2024,Jaipur,None,35-44,IOS,M,Social Media,Solo
CUST00049,Deepika Iyer,07-05-2024,Calcutta,Silver,25-34,,F,Email Campaign,Leisure
CUST00050,Arjun Menon,2025/02/13,Kochi,Silver,45-54,iOS,M,Social Media,Honeymoon
CUST00051,Neha Bhat,2024/06/18,Amritsar,Platinum,18-24,,F,Organic Search,
CUST00052,Arjun Banerjee,17-05-2026,Bengaluru,Silver,55+,,M,App Install,Business
CUST00053,Pankaj Reddy,2026/04/15,Hyderabad,Silver,,android,M,Organic Search,Honeymoon
CUST00054,Manoj Patel,07-10-2025,Pune,None,18-24,Web,,Organic Search,Business
CUST00055,Anjali Kapoor,2025/09/09,Goa,Gold,35-44,IOS,F,Organic Search,Leisure
CUST00056,Sunita Reddy,19-03-2026,Delhi,None,55+,android,F,Organic Search,Leisure
CUST00057,Kavita Kumar,2025/05/02,Jodhpur,None,,,,Referral,Honeymoon
CUST00058,Priya Sharma,18-08-2025,Jaipur,Platinum,45-54,,F,Organic Search,
CUST00059,Kavita Bhat,30-11-2025,Kolkata,None,55+,,F,Organic Search,
CUST00060,Sneha Banerjee,15-12-2023,Agra,Silver,35-44,android,F,Referral,
CUST00061,Priya Agarwal,2026/06/03,Pune,Silver,,,,Social Media,
CUST00062,Deepika Iyer,2024/01/25,Amritsar,NA,35-44,IOS,F,Social Media,Honeymoon
CUST00063,Gaurav Singh,2024/10/29,Rishikesh,,,,M,Referral,
CUST00064,Suresh Agarwal,28-09-2025,Amritsar,None,25-34,,,Social Media,
CUST00065,Kritika Menon,08-10-2025,kolkata,None,,iOS,F,Paid Ads,Business
CUST00066,Deepika Bhat,06-12-2025,Ahmedabad,None,,,,Organic Search,
CUST00067,Preeti Das,14-08-2025,bengaluru,None,,,,Social Media,
CUST00068,Sunita Malhotra,02-02-2024,Kochi,Gold,,Web,F,Referral,
CUST00069,Divya Sharma,2024/12/07,mumbai,Gold,25-34,,F,Referral,
CUST00070,Amit Kumar,25-12-2023,bengaluru,Silver,,,M,Email Campaign,
CUST00071,Vivek Sharma,2024/11/24,Pune,Gold,18-24,,M,App Install,Honeymoon
CUST00072,Amit Malhotra,19-12-2023,Bengaluru ,None,35-44,,M,Social Media,Solo
CUST00073,Rahul Agarwal,19-06-2025,mumbai,,35-44,,M,Organic Search,
CUST00074,Manoj Joshi,2026/01/30,Manali,Platinum,55+,,,Paid Ads,Honeymoon
CUST00075,Kritika Verma,2025/06/11,Darjeeling,None,45-54,IOS,,Referral,Family
CUST00076,Sanjay Sharma,18-05-2026,Goa,None,35-44,iOS,M,Email Campaign,Business
CUST00077,Pankaj Kumar,2024/05/24,Bombay,Platinum,25-34,,M,Paid Ads,Family
CUST00078,Karan Patel,2026/09/03,delhi,Gold,25-34,,M,App Install,
CUST00079,Nisha Reddy,2025/07/11,delhi,Silver,18-24,Android,,Email Campaign,Solo
CUST00080,Rajesh Banerjee,26-10-2025,Rishikesh,None,,,M,Organic Search,Family
CUST00081,Rajesh Joshi,2024/11/06,Pune,None,35-44,,M,App Install,Business
CUST00082,Shreya Kumar,23-05-2025,Hyderabad,Silver,18-24,,F,Paid Ads,Business
CUST00083,Vinay Verma,2024/11/19,Manali,Silver,45-54,,M,App Install,Business
CUST00084,Rohan Kumar,06-10-2023,Jaipur,None,25-34,,M,Email Campaign,
CUST00085,Deepika Gupta,12-01-2026,Pune,None,45-54,,F,Organic Search,Honeymoon
CUST00086,Aditya Menon,03-01-2025,Ahmedabad,Gold,18-24,,,Organic Search,
CUST00087,Nikhil Kumar,2026/08/28,Rishikesh,Silver,25-34,,M,Paid Ads,Honeymoon
CUST00088,Kritika Gupta,01-09-2025,Agra,None,25-34,,,Referral,Business
CUST00089,Amit Reddy,24-07-2026,Mumbai,Gold,55+,Web,,Referral,Leisure
CUST00090,Shalini Mehta,2025/07/25,Rishikesh,NA,35-44,,F,App Install,Family
CUST00091,Deepak Chopra,2026/01/03,Jaipur,None,18-24,iOS,,Social Media,
CUST00092,Divya Reddy,11-05-2024,Bengaluru ,None,,,F,App Install,Honeymoon
CUST00093,Nisha Banerjee,2023/09/18,Kochi,None,,IOS,F,Referral,
CUST00094,Deepak Joshi,26-01-2024,Shimla,none,35-44,,M,Email Campaign,
CUST00095,Shreya Rao,2025/08/29,Amritsar,platinum,55+,iOS,F,Paid Ads,
CUST00096,Ashish Patel,05-10-2025,Calcutta,None,25-34,android,M,Paid Ads,Leisure
CUST00097,Pooja Malhotra,2024/07/28,Chennai,Gold,35-44,,,Email Campaign,Honeymoon
CUST00098,Sanjay Chopra,2025/05/03,Varanasi,None,,android,,Email Campaign,Business
CUST00099,Aditya Joshi,2026/06/14,Amritsar,None,55+,Web,M,Social Media,Family
CUST00100,Gaurav Reddy,18-09-2023,Ahmedabad,silver,,,,Referral,Honeymoon
CUST00101,Divya Iyer,02-03-2026,bengaluru,Platinum,45-54,,F,Paid Ads,
CUST00102,Anjali Bhat,2025/10/25,Manali,Silver,35-44,android,F,App Install,Honeymoon
CUST00103,Deepak Banerjee,08-06-2024,Mysuru,Silver,55+,,,Organic Search,Business
CUST00104,Ravi Chopra,30-11-2025,Amritsar,Gold,,,M,Social Media,
CUST00105,Swati Rao,2024/09/11,Bangalore,Gold,45-54,,F,Social Media,Leisure
CUST00106,Shalini Verma,11-05-2025,Lucknow,Gold,45-54,android,,Organic Search,
CUST00107,Rohan Rao,15-03-2024,Agra,Platinum,18-24,iOS,M,Email Campaign,Family
CUST00108,Preeti Kumar,2025/12/28,Mumbai,None,25-34,,F,Referral,
CUST00109,Gaurav Iyer,2026/08/16,Chennai,Silver,45-54,,M,Email Campaign,Family
CUST00110,Suresh Mehta,06-02-2025,Shimla,None,55+,Web,M,Referral,
CUST00111,Nisha Rao,2024/07/02,Manali,None,35-44,iOS,F,App Install,
CUST00112,Gaurav Gupta,01-01-2026,Ahmedabad,None,18-24,,M,Paid Ads,Solo
CUST00113,Deepika Bhat,2024/11/07,Agra,Silver,,Android,F,Organic Search,Business
CUST00114,Kavita Sharma,18-08-2024,Kochi,Silver,,,F,Social Media,Business
CUST00115,Ravi Singh,2024/11/02,Bengaluru ,none,45-54,,M,Email Campaign,Family
CUST00116,Sneha Verma,2024/06/16,mumbai,Silver,45-54,,F,Paid Ads,
CUST00117,Shreya Agarwal,29-11-2024,Jaipur,None,25-34,android,F,Organic Search,Family
CUST00118,Gaurav Gupta,26-10-2024,Benaras,Silver,25-34,android,M,Referral,
CUST00119,Arjun Menon,29-08-2026,bengaluru,silver,35-44,,M,App Install,
CUST00120,Isha Banerjee,16-03-2024,Agra,Silver,,,F,Social Media,Family
CUST00121,Manoj Reddy,24-07-2024,Jodhpur,Gold,25-34,,,Referral,
CUST00122,Kavita Singh,19-05-2025,Bangalore,None,45-54,Android,F,Email Campaign,Honeymoon
CUST00123,Nisha Verma,25-11-2023,Bombay,Platinum,,android,F,Email Campaign,
CUST00124,Manoj Patel,22-09-2025,Udaipur,None,18-24,,M,Organic Search,Solo
CUST00125,Rohan Nair,13-05-2024,Jaipur,Platinum,55+,,,Organic Search,Family
CUST00126,Ashish Iyer,2025/10/07,Agra,silver,,,M,Paid Ads,
CUST00127,Rahul Singh,04-01-2024,Kochi,None,55+,,M,Email Campaign,Business
CUST00128,Sanjay Sharma,01-02-2026,Shimla,None,18-24,Web,M,Social Media,Leisure
CUST00129,Rajesh Kapoor,02-08-2026,mumbai,None,,,,Referral,Leisure
CUST00130,Anita Gupta,19-04-2026,Ahmedabad,None,18-24,,F,App Install,
CUST00131,Ashish Patel,2024/07/22,Manali,None,25-34,,M,Paid Ads,Family
CUST00132,Nikhil Verma,01-07-2026,Amritsar,None,18-24,,M,Email Campaign,Leisure
CUST00133,Swati Gupta,2025/09/01,Ahmedabad,Silver,45-54,,F,Paid Ads,Family
CUST00134,Ravi Banerjee,2024/08/19,Rishikesh,Gold,55+,,M,Email Campaign,Honeymoon
CUST00135,Sanjay Nair,2025/01/20,Agra,platinum,55+,iOS,M,App Install,Honeymoon
CUST00136,Deepika Agarwal,2025/11/01,Shimla,None,25-34,Web,F,Email Campaign,
CUST00137,Priya Mehta,2026/06/14,Mysuru,Silver,18-24,,F,App Install,
CUST00138,Vivek Das,27-11-2024,bengaluru,Gold,45-54,,,Organic Search,Family
CUST00139,Ravi Malhotra,24-01-2025,Goa,Silver,18-24,android,M,Paid Ads,
CUST00140,Kavita Nair,2025/09/05,Mysuru,None,45-54,Web,F,App Install,
CUST00141,Deepak Menon,2023/10/05,delhi,None,,,,App Install,Honeymoon
CUST00142,Pooja Das,2026/08/04,Jodhpur,Gold,35-44,,F,Organic Search,Honeymoon
CUST00143,Ritu Joshi,2025/06/03,Jodhpur,None,45-54,,F,Email Campaign,
CUST00144,Sunita Sharma,2024/01/11,Jodhpur,Silver,45-54,android,,Referral,Honeymoon
CUST00145,Vivek Rao,2024/06/23,New Delhi ,none,35-44,,M,Paid Ads,
CUST00146,Deepak Patel,2025/04/14,Darjeeling,None,35-44,IOS,,Organic Search,
CUST00147,Deepak Rao,23-09-2025,Chennai,Gold,55+,,M,Organic Search,
CUST00148,Ashish Verma,14-08-2024,Hyderabad,None,25-34,,,Organic Search,
CUST00149,Kavita Iyer,2025/06/11,Kochi,Silver,,,F,App Install,Leisure
CUST00150,Anita Chopra,2026/05/11,Chennai,Silver,55+,,F,Social Media,Solo
CUST00151,Aditya Iyer,07-05-2026,Jodhpur,Platinum,45-54,Android,M,Referral,Solo
CUST00152,Pooja Iyer,2026/03/25,delhi,Silver,55+,Web,F,Referral,Honeymoon
CUST00153,Vikram Das,2024/04/01,Mysuru,None,45-54,Android,M,Referral,Business
CUST00154,Deepika Agarwal,2025/12/14,Shimla,Platinum,35-44,Web,F,Paid Ads,Business
CUST00155,Sneha Reddy,2025/08/10,Jodhpur,Silver,,,F,Social Media,Leisure
CUST00156,Deepika Reddy,2025/03/30,Jodhpur,None,25-34,,F,Paid Ads,Business
CUST00157,Deepak Mehta,2024/06/11,Darjeeling,None,,IOS,,Referral,
CUST00158,Rajesh Mehta,27-03-2024,Manali,None,18-24,,M,Organic Search,
CUST00159,Rahul Bhat,2024/06/27,Varanasi,silver,,,M,Social Media,
CUST00160,Gaurav Bhat,30-04-2024,Kochi,Silver,35-44,,M,Social Media,
CUST00161,Preeti Das,18-11-2023,kolkata,None,18-24,IOS,F,Referral,Solo
CUST00162,Neha Banerjee,2024/05/04,Shimla,Gold,55+,,F,Paid Ads,
CUST00163,Neha Rao,2024/06/16,Rishikesh,GOLD,55+,,,Paid Ads,Family
CUST00164,Kavita Mehta,2024/10/18,Bangalore,None,,,F,App Install,
CUST00165,Meera Das,15-05-2025,Delhi,None,55+,Android,F,Organic Search,
CUST00166,Shalini Joshi,2024/08/17,Ahmedabad,None,,,,Organic Search,Leisure
CUST00167,Priya Bhat,2024/04/13,Pune,Silver,25-34,,,App Install,
CUST00168,Kritika Kumar,26-04-2024,Amritsar,Platinum,55+,android,F,Paid Ads,Family
CUST00169,Sanjay Menon,27-02-2026,Shimla,Silver,45-54,,M,Paid Ads,
CUST00170,Rahul Gupta,23-04-2026,MUMBAI,Silver,55+,,M,Organic Search,
CUST00171,Meera Sharma,2025/01/27,Agra,None,45-54,,,Organic Search,Honeymoon
CUST00172,Nisha Banerjee,2026/03/05,Bangalore,Platinum,18-24,android,,Paid Ads,
CUST00173,Kritika Kapoor,2024/07/03,Goa,None,55+,,,Organic Search,Business
CUST00174,Deepak Banerjee,2024/12/19,Darjeeling,None,,,M,Organic Search,
CUST00175,Anjali Chopra,2025/01/21,Calcutta,None,,,,Email Campaign,
CUST00176,Aditya Bhat,2023/10/24,Kochi,None,,,M,Paid Ads,Business
CUST00177,Pooja Menon,2025/11/06,New Delhi ,Silver,18-24,IOS,F,Email Campaign,Leisure
CUST00178,Amit Das,04-05-2025,varanasi,Gold,18-24,,M,Email Campaign,
CUST00179,Meera Singh,2024/11/14,Jodhpur,Gold,18-24,IOS,F,Organic Search,Honeymoon
CUST00180,Rajesh Singh,2024/03/18,Manali,silver,35-44,Web,M,Paid Ads,Solo
CUST00181,Rahul Gupta,17-02-2024,MUMBAI,Silver,55+,iOS,M,Social Media,Solo
CUST00182,Vikram Sharma,2024/01/15,delhi,None,,,M,Organic Search,Business
CUST00183,Shreya Kumar,15-02-2025,Hyderabad,None,18-24,,F,App Install,Leisure
CUST00184,Isha Agarwal,2025/03/31,Calcutta,Silver,55+,Android,F,Referral,Business
CUST00185,Priya Nair,2025/08/18,bengaluru,Platinum,18-24,Android,F,Referral,Solo
CUST00186,Gaurav Singh,2026/04/12,Udaipur,Silver,18-24,IOS,,Paid Ads,Solo
CUST00187,Arjun Mehta,2023/10/14,Chennai,Gold,18-24,,,Social Media,Solo
CUST00188,Deepika Nair,2025/08/16,Chennai,none,18-24,,F,Email Campaign,Family
CUST00189,Pankaj Gupta,26-11-2025,Hyderabad,Silver,18-24,,,Organic Search,
CUST00190,Nikhil Menon,30-03-2025,varanasi,Silver,,,,Referral,Solo
CUST00191,Ravi Singh,17-04-2026,Pune,Gold,,,M,App Install,Business
CUST00192,Anita Iyer,07-10-2023,Agra,Silver,,iOS,,Email Campaign,Honeymoon
CUST00193,Amit Kumar,2026/05/29,Goa,None,18-24,,,Referral,Leisure
CUST00194,Vikram Mehta,2023/10/17,Chennai,None,25-34,Web,M,Referral,Honeymoon
CUST00195,Shreya Joshi,2025/10/06,Udaipur,Platinum,18-24,,,Paid Ads,Family
CUST00196,Arjun Nair,11-11-2025,Manali,Silver,45-54,,,Organic Search,Leisure
CUST00197,Divya Mehta,2023/11/16,Kochi,Gold,18-24,Android,F,App Install,Honeymoon
CUST00198,Pooja Rao,26-05-2026,Udaipur,None,45-54,android,F,Organic Search,Leisure
CUST00199,Nisha Rao,2025/01/18,Pune,Platinum,18-24,IOS,F,Paid Ads,Solo
CUST00200,Amit Malhotra,26-08-2026,MUMBAI,Silver,25-34,,M,Referral,Business
CUST00201,Nisha Bhat,2024/06/12,bengaluru,None,35-44,Android,F,Paid Ads,
CUST00202,Rohan Rao,2026/05/30,Chennai,Silver,18-24,,M,Organic Search,
CUST00203,Nikhil Kapoor,2024/06/28,Darjeeling,Gold,45-54,,M,Email Campaign,Leisure
CUST00204,Rajesh Sharma,2026/04/12,bengaluru,Gold,18-24,Web,M,App Install,Business
CUST00205,Preeti Reddy,30-01-2024,Shimla,Silver,,Android,F,Referral,
CUST00206,Ananya Rao,2024/11/24,Mysuru,None,25-34,,,Paid Ads,
CUST00207,Divya Agarwal,2023/11/21,Rishikesh,Silver,45-54,,F,Social Media,
CUST00208,Aditya Kapoor,26-02-2025,Mysuru,GOLD,55+,IOS,M,Email Campaign,Solo
CUST00209,Sanjay Malhotra,18-07-2024,Jaipur,NA,25-34,,M,Referral,
CUST00210,Vikram Banerjee,2026/03/31,Rishikesh,silver,55+,,M,Paid Ads,Family
CUST00211,Amit Malhotra,17-04-2024,New Delhi ,None,18-24,,M,Paid Ads,Business
CUST00212,Ritu Menon,2024/05/12,varanasi,Silver,55+,IOS,,Email Campaign,
CUST00213,Anil Gupta,2025/02/16,Ahmedabad,Gold,35-44,iOS,M,App Install,Family
CUST00214,Amit Kapoor,2026/05/10,Agra,None,18-24,android,M,App Install,Family
CUST00215,Anita Nair,2026/02/14,Bangalore,none,25-34,,F,App Install,Solo
CUST00216,Sunita Chopra,25-06-2026,Manali,Silver,25-34,,F,Referral,Leisure
CUST00217,Isha Malhotra,23-02-2024,Kochi,platinum,35-44,,,Social Media,
CUST00218,Kavita Rao,2023/10/23,Jodhpur,None,25-34,,,Referral,Leisure
CUST00219,Rajesh Banerjee,2024/10/23,Manali,None,35-44,,M,Paid Ads,Leisure
CUST00220,Rahul Kapoor,2026/09/16,Rishikesh,None,35-44,,M,Organic Search,Leisure
CUST00221,Rahul Patel,30-12-2024,Udaipur,silver,25-34,,M,Organic Search,Leisure
CUST00222,Aditya Rao,2025/08/03,bengaluru,Platinum,35-44,,M,App Install,Solo
CUST00223,Vikram Iyer,14-08-2024,Chennai,Silver,55+,Android,M,Email Campaign,Family
CUST00224,Ananya Rao,01-07-2024,Agra,None,,,,Paid Ads,Solo
CUST00225,Suresh Gupta,2026/05/11,Goa,Silver,25-34,,M,Email Campaign,Solo
CUST00226,Nikhil Banerjee,24-02-2026,Jaipur,Silver,55+,,M,Organic Search,Solo
CUST00227,Ananya Das,27-07-2025,MUMBAI,Silver,18-24,iOS,F,Social Media,Family
CUST00228,Karan Reddy,15-06-2025,Jodhpur,None,,,M,Organic Search,Business
CUST00229,Deepika Agarwal,22-08-2026,Hyderabad,Silver,55+,,,Organic Search,
CUST00230,Karan Nair,2026/04/19,DELHI,Silver,18-24,IOS,M,Email Campaign,
CUST00231,Neha Singh,07-02-2024,Mysuru,Gold,45-54,,F,Referral,
CUST00232,Swati Joshi,2026/09/16,Varanasi,None,,,,Organic Search,
CUST00233,Sneha Verma,2024/06/07,bengaluru,GOLD,,,,Referral,Leisure
CUST00234,Ananya Gupta,2024/07/09,Shimla,None,18-24,Android,F,Referral,Business
CUST00235,Kavita Das,27-12-2025,Udaipur,Silver,,,,Email Campaign,Family
CUST00236,Shalini Singh,2024/03/22,Chennai,None,45-54,android,F,Paid Ads,
CUST00237,Deepika Reddy,2024/06/08,Agra,None,45-54,Android,F,Social Media,Family
CUST00238,Ananya Rao,2024/07/17,Mysuru,Gold,,,,Email Campaign,Business
CUST00239,Rajesh Banerjee,2025/08/21,delhi,None,35-44,,M,Organic Search,Leisure
CUST00240,Vivek Iyer,05-10-2025,Hyderabad,Gold,35-44,android,M,App Install,Family
CUST00241,Anil Banerjee,2025/01/29,Darjeeling,None,25-34,iOS,,Referral,
CUST00242,Swati Mehta,2024/06/16,Kolkata,,35-44,,,Referral,Business
CUST00243,Gaurav Bhat,11-08-2025,Kochi,None,25-34,,,Referral,Business
CUST00244,Priya Sharma,25-12-2024,Manali,Silver,18-24,android,F,Email Campaign,Leisure
CUST00245,Ritu Rao,2025/10/30,Hyderabad,,55+,,F,Referral,
CUST00246,Preeti Singh,13-08-2026,bengaluru,Platinum,45-54,Android,F,Email Campaign,Business
CUST00247,Pooja Banerjee,27-11-2023,Varanasi,platinum,45-54,,,Email Campaign,Business
CUST00248,Ashish Mehta,2026/08/07,Manali,Silver,,Android,M,Paid Ads,Family
CUST00249,Deepak Gupta,17-01-2026,Agra,Gold,,,M,Email Campaign,
CUST00250,Pankaj Chopra,18-08-2024,Udaipur,Silver,55+,,M,Social Media,Family
CUST00251,Ashish Sharma,11-07-2026,Agra,Platinum,25-34,,M,Paid Ads,
CUST00252,Anil Kumar,28-02-2025,Mysuru,silver,45-54,,M,Social Media,Solo
CUST00253,Kavita Nair,2025/02/21,Kolkata,,25-34,,F,Social Media,
CUST00254,Ravi Kapoor,2024/12/02,Chennai,None,45-54,,M,Organic Search,Solo
CUST00255,Vikram Das,14-01-2026,Jaipur,Gold,25-34,iOS,M,Social Media,Family
CUST00256,Rajesh Patel,03-01-2026,Manali,None,35-44,Web,M,Paid Ads,Business
CUST00257,Vinay Agarwal,28-05-2024,Amritsar,silver,45-54,,M,App Install,
CUST00258,Ananya Reddy,10-05-2026,Ahmedabad,Platinum,55+,,F,Paid Ads,
CUST00259,Deepak Singh,2025/09/11,Rishikesh,Gold,45-54,,M,App Install,Honeymoon
CUST00260,Sunita Menon,2025/12/17,Rishikesh,None,25-34,,,Email Campaign,Leisure
CUST00261,Deepika Agarwal,2024/12/09,Pune,None,25-34,IOS,F,Social Media,Solo
CUST00262,Aditya Sharma,09-07-2025,Kochi,Gold,,,M,Social Media,Leisure
CUST00263,Pooja Agarwal,2025/02/19,Shimla,None,55+,,F,Organic Search,
CUST00264,Shalini Sharma,03-04-2025,Pune,silver,45-54,iOS,F,Email Campaign,Solo
CUST00265,Amit Kumar,2024/07/13,Hyderabad,Silver,18-24,android,,Referral,
CUST00266,Gaurav Das,2024/03/18,Jaipur,Gold,25-34,,,Email Campaign,Solo
CUST00267,Neha Patel,01-06-2024,Hyderabad,Silver,18-24,iOS,,Organic Search,Leisure
CUST00268,Ravi Patel,2024/04/23,Udaipur,Silver,35-44,,M,Referral,
CUST00269,Deepika Malhotra,2025/02/16,Benaras,Silver,18-24,,,Paid Ads,Business
CUST00270,Ravi Menon,2023/11/24,varanasi,Platinum,55+,,,App Install,Solo
CUST00271,Deepika Menon,15-07-2024,MUMBAI,,,IOS,F,Paid Ads,Solo
CUST00272,Rahul Menon,2026/08/06,DELHI,None,35-44,,M,Email Campaign,Business
CUST00273,Kritika Banerjee,2024/08/12,Pune,None,25-34,,F,Paid Ads,Honeymoon
CUST00274,Shalini Iyer,06-08-2025,Udaipur,Platinum,55+,,F,Referral,Leisure
CUST00275,Anil Gupta,2026/01/12,Hyderabad,platinum,45-54,,,Organic Search,Honeymoon
CUST00276,Shreya Singh,2026/02/24,Varanasi,None,35-44,,F,Email Campaign,
CUST00277,Nikhil Mehta,2024/11/29,Bengaluru ,None,35-44,,,Paid Ads,Honeymoon
CUST00278,Nisha Agarwal,2025/12/16,Jodhpur,none,45-54,,F,Organic Search,Business
CUST00279,Pankaj Das,11-06-2024,Manali,None,45-54,,M,Referral,
CUST00280,Vikram Gupta,26-11-2023,Agra,GOLD,45-54,,M,Email Campaign,Family
CUST00281,Rohan Patel,07-07-2026,Chennai,Gold,25-34,,,App Install,Business
CUST00282,Karan Kapoor,27-05-2025,Bengaluru ,None,55+,IOS,,App Install,
CUST00283,Anjali Chopra,2025/01/04,Darjeeling,GOLD,55+,,F,Referral,Business
CUST00284,Deepika Patel,2024/06/23,Kochi,GOLD,35-44,,,Referral,
CUST00285,Vivek Singh,2025/10/09,Shimla,none,25-34,android,M,Social Media,Family
CUST00286,Vivek Sharma,2025/06/28,Agra,,35-44,android,,Email Campaign,Family
CUST00287,Meera Das,2024/09/09,Manali,Silver,,,F,Referral,Business
CUST00288,Priya Reddy,2024/02/09,Agra,Platinum,18-24,,F,Email Campaign,Leisure
CUST00289,Vinay Sharma,2025/03/15,MUMBAI,none,,Web,M,Referral,
CUST00290,Preeti Das,2024/09/21,delhi,Platinum,25-34,,,Organic Search,
CUST00291,Deepika Chopra,2023/11/11,Bengaluru ,platinum,45-54,Android,,Email Campaign,Family
CUST00292,Priya Sharma,2024/01/06,Rishikesh,,45-54,,F,Referral,Family
CUST00293,Shreya Das,03-07-2024,Udaipur,Silver,25-34,,F,Social Media,Leisure
CUST00294,Swati Bhat,2023/10/17,Bombay,Silver,25-34,,F,Organic Search,
CUST00295,Vikram Rao,18-11-2025,Rishikesh,Gold,18-24,iOS,,Email Campaign,
CUST00296,Pankaj Patel,26-10-2024,bengaluru,silver,35-44,,M,Referral,
CUST00297,Ashish Bhat,2025/01/29,Jodhpur,Silver,35-44,,M,Referral,
CUST00298,Vinay Verma,02-07-2026,Goa,NA,25-34,Android,M,Referral,Honeymoon
CUST00299,Ashish Reddy,28-07-2026,Shimla,Silver,,,M,Referral,Solo
CUST00300,Rajesh Chopra,10-04-2024,Agra,Gold,,Web,M,Referral,
